,Unnamed: 0,card_id,f_mode,f_line,f_lon,f_lat,f_tm,t_mode,t_line,t_lon,t_lat,t_tm,travel_time,fst_name_1,tst_name_1
0,0,34839834494,	DT,2,116.435842,39.941626,2019/9/10 8:34,#DT,2,116.427287,39.904983,2019/9/10 8:47,14.0,Dongzhimen_m,Beijingzhan_m
1,1,548720208779,	DT,13,116.435842,39.941626,2019/9/10 6:51,#DT,96,116.513321,39.793189,2019/9/10 7:47,57.0,Dongzhimen_m,Rongjingdongjie_m
2,2,173473667503,	DT,6,116.688358,39.903024,2019/9/10 7:43,#DT,10,116.405954,39.977005,2019/9/10 8:38,55.0,Beiyunhexi_m,Anzhenmen_m
3,3,110875555609,	DT,13,116.336116,40.0708,2019/9/10 7:52,#DT,6,116.276531,39.932584,2019/9/10 8:44,52.6,Huilongguan_m,Haidianwuluju_m
4,4,299646666571,	GJ,614,116.31397,40.02218,2019/9/10 7:03,#GJ,614,116.31884,40.00938,2019/9/10 7:09,6.6,Beijingtiyudaxue_b,Qinghuafuzhong_b
5,5,441159333913,	DT,6,116.599722,39.925696,2019/9/10 6:15,#DT,96,116.539805,39.772915,2019/9/10 7:34,79.1,Changying_m,Tongjinanlu_m
6,6,11643444895,	GJ,86,116.31254,39.93232,2019/9/10 9:57,#GJ,86,116.3346,39.95217,2019/9/10 10:21,24.8,Huayuanqiaodong_b,Dahuisiludongkou_b
7,7,984915111269,	DT,2,116.384209,39.900098,2019/9/10 9:07,#DT,2,116.355426,39.940474,2019/9/10 9:25,18.6,Hepingmen_m,Xizhimen_m
8,8,902015111266,	GJ,365,116.31396,40.02218,2019/9/10 6:46,#GJ,365,116.31654,39.98268,2019/9/10 7:00,14.7,Beijingtiyudaxue_b,Zhongguancunnan_b
9,9,752149888434,	GJ,510,116.36567,40.01761,2019/9/10 9:17,#GJ,510,116.37882,40.00174,2019/9/10 9:28,11.7,Rongyujiayuan_b,Nangounihe_b
10,10,752149888434,&GJ,425,116.37887,40.00184,2019/9/10 9:31,#GJ,425,116.36504,39.99493,2019/9/10 9:41,10.7,Nangounihe_b,Erlizhuangnankou_b
11,11,813831999321,	DT,90,116.428368,39.845849,2019/9/10 7:34,#DT,5,116.417783,39.917113,2019/9/10 7:54,20.9,Songjiazhuang_m,Dengshikou_m
12,12,718649888437,	DT,10,116.328709,39.976334,2019/9/10 9:00,#DT,94,116.280465,40.164666,2019/9/10 9:48,48.7,Zhichunli_m,Shahegaojiaoyuan_m
13,13,711649888431,	DT,13,116.320193,40.033007,2019/9/10 7:54,#DT,10,116.460627,39.893479,2019/9/10 8:50,56.4,Shangdi_m,Shuangjing_m
14,14,341266222155,	DT,13,116.435842,39.941626,2019/9/10 6:44,#DT,2,116.397937,39.900192,2019/9/10 7:07,23.7,Dongzhimen_m,Qianmen_m
15,15,467322333911,	DT,2,116.363355,39.899433,2019/9/10 9:44,#DT,6,116.310683,39.93234,2019/9/10 10:07,24.0,Changchunjie_m,Huayuanqiao_m
16,16,448922333912,&DT,5,116.412888,40.083668,2019/9/10 6:09,#DT,5,116.417783,39.917113,2019/9/10 6:48,39.4,Tiantongyuanbei_m,Dengshikou_m
17,17,542458877709,	DT,4,116.315842,39.992212,2019/9/10 6:41,#DT,6,116.717826,39.903195,2019/9/10 7:58,77.6,Beijingdaxuedongmen_m,Haojiafu_m
18,18,542458877709,	DT,6,116.717826,39.903195,2019/9/10 8:48,#DT,4,116.317564,39.975996,2019/9/10 10:03,75.1,Haojiafu_m,Haidianhuangzhuang_m
